Title,Authors,Publication frequency,Publication type,Publication Date,Description,Report Format,Publication Status,Topic/theme,URL,Created Time,Last Modified
Weekend box office figures,BFI Research & Statistics Unit,Weekly,"Data,Statistics",,"Each week the BFI publishes box office figures for the top 15 films released in the UK, all other British releases and newly-released films. The figures cover box offices grosses in pounds sterling, Friday to Sunday, and show the performance of each film compared to the previous week and its total UK box office gross since release.",Spreadsheet,Published,"Audiences,Film,Box office,Exhibition",https://www.bfi.org.uk/industry-data-insights/weekend-box-office-figures,6/13/2026 7:27am,6/13/2026 7:41am
"British film, high-end television programmes, animation television programmes, children's television programmes and video games certification",BFI Research & Statistics Unit,Quarterly,"Data,Statistics",,"The British film, high-end television programmes, animation television programmes, children’s television programmes and video games certification statistics in this report are based on data collected by the BFI’s Certification Unit, on behalf of the Department for Culture, Media and Sport (DCMS). The data reported are all British films, HETV programmes, animation television programmes, CTV programmes and video games certified as British in the reference period, not a sample. Certification is required to access the UK's audiovisual expenditure credits (formerly tax relief).

The BFI Certification Unit assesses all British films, HETV programmes, animation television programmes, CTV programmes and video games certification applications on behalf of the DCMS and makes recommendations to the Secretary of State. The certificates are then issued by the BFI
Certification Unit. Certification may occur sometime after both the production/development and release (theatrical or broadcast in the case of films, HETV, animation programmes and CTV programmes or supply in the case of video games) of the film, television programme or video game. ",PDF,Published,"Film,HETV,Animation,Video games,Children's TV,Certification",https://www.bfi.org.uk/industry-data-insights/official-statistics-release-calendar,6/13/2026 7:43am,6/13/2026 7:59am
